,TimeTick,1,0.8,0.5,0.3,0.1
13/05/2023,4.684183,0,19579.67239,49594.5581,68631.39677,88489.83739
13/05/2023,4.70085,0,19608.75059,49650.75568,68730.82983,88611.77205
13/05/2023,4.717517,0,19637.1651,49705.27274,68827.93657,88730.70749
13/05/2023,4.734184,0,19664.91495,49758.10743,68922.71371,88846.63968
13/05/2023,4.75085,0,19691.9986,49809.25797,69015.15804,88959.5647
13/05/2023,4.767517,0,19718.41636,49859.21107,69105.26642,89069.47871
13/05/2023,4.784184,0,19744.16672,49906.97013,69193.03581,89176.37802
13/05/2023,4.800935,0,19769.24879,49953.04111,69278.46324,89280.25898
13/05/2023,4.817602,0,19793.66175,49997.42134,69361.54581,89381.1181
13/05/2023,4.834269,0,19817.40475,50040.10932,69442.28072,89478.95195
13/05/2023,4.850935,0,19840.477,50081.10359,69520.66346,89573.75508
13/05/2023,4.867602,0,19862.87771,50120.40279,69596.69497,89665.52864
13/05/2023,4.884269,0,19884.60612,50158.00557,69670.37085,89754.63061
13/05/2023,4.900935,0,19905.66103,50193.91146,69741.68862,89840.31872
13/05/2023,4.917602,0,19926.04269,50228.11761,69810.6443,89922.96417
13/05/2023,4.934269,0,19945.74991,50260.62369,69877.23872,90002.56793
13/05/2023,4.951015,0,19964.78203,50291.42862,69941.46801,90079.1254
13/05/2023,4.967682,0,19983.13841,50320.53069,70003.33002,90152.63398
13/05/2023,4.984351,0,20000.81843,50347.93027,70062.82263,90223.09118
13/05/2023,5.001018,0,20017.82148,50373.62572,70119.94384,90290.49462
13/05/2023,5.017685,0,20034.14699,50397.61619,70174.69049,90354.84202
13/05/2023,5.034352,0,20049.79441,50419.90086,70227.06324,90416.13119
13/05/2023,5.051018,0,20064.76321,50440.47898,70277.05902,90474.36006
13/05/2023,5.067685,0,20079.05288,50459.34944,70324.67614,90529.52667
13/05/2023,5.084352,0,20092.66294,50476.51246,70369.913,90581.62914
13/05/2023,5.101018,0,20105.59293,50491.96701,70412.76807,90630.66571
13/05/2023,5.117685,0,20117.8424,50505.71257,70453.23989,90676.63371
13/05/2023,5.134352,0,20129.41095,50517.74868,70491.32709,90719.53368
13/05/2023,5.151019,0,20140.29819,50528.07492,70527.02838,90759.36309
13/05/2023,5.167686,0,20150.50374,50536.69094,70560.34256,90796.12058
13/05/2023,5.184352,0,20164.62267,50543.59646,70591.2685,90829.80492
13/05/2023,5.201019,0,20173.11563,50548.79125,70619.80515,90860.42094
13/05/2023,5.217686,0,20180.9258,50552.27505,70645.95155,90887.95501
13/05/2023,5.234353,0,20188.05291,50554.04793,70669.70681,90912.41281
13/05/2023,5.251019,0,20194.49658,50554.10971,70691.07012,90933.79351
13/05/2023,5.267686,0,20200.25688,50552.46039,70710.04076,90952.0964
13/05/2023,5.284353,0,20205.33348,50549.10004,70726.61775,90967.32085
13/05/2023,5.30102,0,20209.72618,50544.02876,70740.80127,90979.46635
13/05/2023,5.317687,0,20213.43485,50537.24673,70752.59045,90988.55779
13/05/2023,5.334353,0,20216.4593,50528.75417,70761.98487,90994.53389
13/05/2023,5.35102,0,20218.79956,50518.55138,70768.98423,90997.43012
13/05/2023,5.367687,0,20220.45549,50506.6387,70773.5882,90997.24637
